pop;Pop the top operand stack value;{0000000000};B\to A \\ stack[sp] \to B \\sp-1 \to sp;pop;Pop the top value from the operand stack.
stpf;Start putfield;{0001000111};A \to memval\\ B\to A \\ B\to memptr \\ opd_{16} \to memidx \\ stack[sp] \to B \\sp-1 \to sp;putfield;In the first cycle the top value from the stack is stored as value into the memory subsystem. A microcode \code{pop} has to follow. This operation starts the concurrent putfield. The processor can continue with other operations. The \code{wait} instruction stalls the processor till the write access is finished. A null pointer exception is generated by the memory subsystem and thrown at the next bytecode fetch.
stcp;Start copy step;{0001001000};A \to memidx \\ B\to memsrc \\ stack[sp] \to B \\sp-1 \to sp\\ next cycle \\ B \to memdest \\stack[sp] \to B \\ sp-1 \to sp;--;The top value from the stack is stored as index for a \code{stgf} and \code{stgf}. One of those two instructions has to follow.
stbcrd;Start bytecode read;{0001001001};A \to membcr \\ B\to A \\ stack[sp] \to B \\sp-1 \to sp;--;The top value from the stack is stored as address and length of a method in the memory subsystem. This operation starts the memory transfer from the main memory to the bytecode cache (DMA). The processor can continue with other operations. The \code{wait} instruction stalls the processor till the transfer has finished. No other memory accesses are allowed during the bytecode read.
stidx;Store index for native field access;{0001001010};A \to memidx \\ B\to A \\ stack[sp] \to B \\sp-1 \to sp;--;The top value from the stack is stored as field index for native field access (\code{Native.get/putfield})
stps;Start putstatic;{0001001011};A \to memval\\ B\to A \\ opd_{16} \to memptr\\ stack[sp] \to B \\sp-1 \to sp;putstatic;The top value from the stack is stored into the static field. The static field address is in the bytecode operand (index).
ldm;Load from local memory;{00101nnnnn};stack[n] \to A \\ A \to B \\ B \to stack[sp+1] \\sp+1 \to sp;--;The value from the local memory (stack) at position $n$ is pushed onto the operand stack. These 32 memory destinations represent microcode local variables.
ldi;Load from local memory;{00110nnnnn};stack[n+32] \to A \\ A \to B \\ B \to stack[sp+1] \\sp+1 \to sp;--;The value from the local memory (stack) at position $n+32$ is pushed onto the operand stack. These 32 memory destinations represent microcode constants.
ldmrd;Load memory read data;{0011100000};memrdd \to A \\ A \to B \\ B \to stack[sp+1] \\sp+1 \to sp;--;The value from the memory system after a memory read is pushed onto the operand stack. This operation is usually preceded by two \code{wait} instructions.
ldmul;Load multiplier result;{0011100001};mulr \to A \\ A \to B \\ B \to stack[sp+1] \\sp+1 \to sp;(imul);The result of the multiplier is pushed onto the operand stack.
ldbcstart;Load method start;{0011100010};bcstart \to A \\ A \to B \\ B \to stack[sp+1] \\sp+1 \to sp;--;The method start address in the method cache is pushed onto the operand stack.
ld$<$n$>$;Load 32-bit word from local variable;{00111010nn};stack[vp+n] \to A \\ A \to B \\ B \to stack[sp+1] \\sp+1 \to sp;aload_$<$n$>$, iload_$<$n$>$, fload_$<$n$>$;The local variable at position $n$ is pushed onto the operand stack.
ld;Load 32-bit word from local variable;{0011101100};stack[vp+opd] \to A \\ A \to B \\ B \to stack[sp+1] \\sp+1 \to sp;aload, iload, fload;The local variable at position $opd$ is pushed onto the operand stack. $opd$ is taken from the bytecode instruction stream.
ldmi;Load from local memory indirect;{0011101101};stack[ar] \to A \\ A \to B \\ B \to stack[sp+1] \\sp+1 \to sp;--;The value from the local memory (stack) at position ar is pushed onto the operand stack.
ldsp;Load stack pointer;{0011110000};sp \to A \\ A \to B \\ B \to stack[sp+1] \\sp+1 \to sp;--;The stack pointer is pushed onto the operand stack.
ldvp;Load variable pointer;{0011110001};vp \to A \\ A \to B \\ B \to stack[sp+1] \\sp+1 \to sp;--;The variable pointer is pushed onto the operand stack.
ldjpc;Load Java program counter;{0011110010};jpc \to A \\ A \to B \\ B \to stack[sp+1] \\sp+1 \to sp;--;The Java program counter is pushed onto the operand stack.
ld_opd_8u;Load 8-bit bytecode operand unsigned;{0011110100};opd \to A \\ A \to B \\ B \to stack[sp+1] \\sp+1 \to sp;--;A single byte from the bytecode stream is pushed as \code{int} onto the operand stack.
ld_opd_8s;Load 8-bit bytecode operand signed;{0011110101};opd \to A \\ A \to B \\ B \to stack[sp+1] \\sp+1 \to sp;(bipush);A single byte from the bytecode stream is sign-extended to an \code{int} and pushed onto the operand stack.
ld_opd_16u;Load 16-bit bytecode operand unsigned;{0011110110};opd_{16} \to A \\ A \to B \\ B \to stack[sp+1] \\sp+1 \to sp;--;A 16-bit word from the bytecode stream is pushed as \code{int} onto the operand stack.
ld_opd_16s;Load 16-bit bytecode operand signed;{0011110111};opd_{16} \to A \\ A \to B \\ B \to stack[sp+1] \\sp+1 \to sp;(sipush);A 16-bit word from the bytecode stream is sign-extended to an \code{int} and pushed onto the operand stack.
dup;Duplicate the top operand stack value;{0011111000};A \to B \\ B \to stack[sp+1] \\sp+1 \to sp;dup;Duplicate the top value on the operand stack and push it onto the operand stack.
nop;Do nothing;{0100000000};-;nop;The famous no operation instruction.
wait;Wait for memory completion;{0100000001};-;--;This instruction stalls the processor until a pending memory instruction (\code{stmra}, \code{stmwd} or \code{stbcrd}) has completed. Two consecutive \code{wait} instructions are necessary for a correct stall of the decode and execute stage.
jbr;Conditional bytecode branch and goto;{0100000010};-;ifnull, ifnonnull, ifeq, ifne, iflt, ifge, ifgt, ifle, if_acmpeq, if_acmpne, if_icmpeq, if_icmpne, if_icmplt, if_icmpge, if_icmpgt, if_icmple, goto;Execute a bytecode branch or goto. The branch condition and offset are calculated in the bytecode fetch unit. Arguments must be removed with \code{pop} instructions in the following microcode instructions.
stgs;Start getstatic;{0100010000};opd_{16} \to memptr;getstatic;The static field address is in the bytecode operand (index).
bz;Branch if value is zero;{0110nnnnnn};\mbox{if}\:\: A = 0 \:\: \mbox{then} \:\: pc+n+2 \to pc \\ B \to A \\ stack[sp] \to B \\sp-1 \to sp;--;If the top value from the operand stack is zero a microcode branch is taken. The value is popped from the operand stack. Due to a pipeline delay, the zero flag is delayed one cycle, i.e.\ the value from the last but one instruction is taken. The branch is followed by two branch delay slots. The branch offset is taken from the table $offtbl$ indexed by $n$.
bnz;Branch if value is not zero;{0111nnnnnn};\mbox{if}\:\: A \not= 0 \:\: \mbox{then} \:\: pc+n+2 \to pc \\ B \to A \\ stack[sp] \to B \\sp-1 \to sp;--;If the top value from the operand stack is not zero a microcode branch is taken. The value is popped from the operand stack. Due to a pipeline delay, the zero flag is delayed one cycle, i.e.\ the value from the last but one instruction is taken. The branch is followed by two branch delay slots. The branch offset is taken from the table $offtbl$ indexed by $n$.
jmp;Unconditional jump;{1nnnnnnnnn};pc+n+2 \to pc;--;Microcode branch
